Level3	Control1	Control2	Control3	Control4	Control5	Control6	Control7	AB10	AB11	AB12	AB13	AB14	AB8	AB9	AA15	AA16	AA17	AA18	AA19	AA20	AA21
Cysteine and methionine metabolism	0.786179612	0.8498806	0.826590983	0.838164259	0.874564932	0.915409277	0.870116257	0.917199107	0.898895834	0.902208145	0.879512312	0.88316284	0.923815488	0.922321152	0.878287283	0.875251369	0.869935455	0.901250067	0.862271783	0.879123287	0.882802294
Benzoate degradation	0.272726505	0.326327887	0.277524363	0.330696255	0.266887532	0.305728274	0.273482545	0.306231008	0.355498906	0.366391268	0.301944287	0.337777272	0.305311985	0.272532186	0.27812961	0.322275421	0.200369459	0.272472503	0.205616595	0.259766409	0.230616545
Fatty acid biosynthesis	0.35721204	0.397526612	0.400262936	0.413620682	0.435883929	0.429379575	0.458777066	0.468808787	0.495693532	0.492848891	0.439112712	0.452770576	0.453427142	0.447956245	0.461275197	0.466362066	0.467743085	0.434038039	0.480444039	0.477808383	0.399151749
Pyruvate metabolism	0.961644744	1.011546769	1.023717237	1.034235389	1.047022061	1.075421465	1.061540251	1.03681893	1.041957582	1.055567376	1.03718429	1.062162422	1.044260894	1.047496147	1.077865782	1.09564001	1.095788784	1.159539149	1.116325499	1.075621568	1.020853632
D-Alanine metabolism	0.11847322	0.122714476	0.121542781	0.111468386	0.11177615	0.115294369	0.108911158	0.125844877	0.109129481	0.111609346	0.118608203	0.123615615	0.114254527	0.116152976	0.119800804	0.105142539	0.096218565	0.098983639	0.08925553	0.101908102	0.116437618
Bisphenol degradation	0.092258146	0.09500267	0.090889606	0.098972855	0.098256956	0.102509368	0.098480657	0.096813995	0.110157844	0.109827796	0.096423462	0.097799144	0.097105408	0.100598701	0.085250913	0.096648997	0.098319465	0.097090588	0.089549565	0.07593879	0.084067878
N-Glycan biosynthesis	0.022886022	0.018186397	0.024872466	0.023883926	0.028232971	0.016214662	0.027991714	0.010823023	0.017621902	0.022886533	0.014634563	0.013584429	0.016284198	0.013363774	0.018475009	0.022793283	0.045012988	0.021984747	0.043003528	0.026571544	0.022347249
Novobiocin biosynthesis	0.110165065	0.123667496	0.113798457	0.121004846	0.122229569	0.129933167	0.124433733	0.132575974	0.132513571	0.13249949	0.126262372	0.126518875	0.132984187	0.133990964	0.123006498	0.127679885	0.120614548	0.130816254	0.122652594	0.135092321	0.139423983
Glycosphingolipid biosynthesis - ganglio series	0.024080138	0.021998476	0.029970315	0.022832147	0.043992415	0.031072031	0.049777109	0.015222448	0.016677372	0.02094284	0.018636049	0.018482629	0.017481187	0.013726813	0.026689808	0.025867505	0.078689046	0.056807092	0.085872122	0.032231344	0.024041873
Tropane, piperidine and pyridine alkaloid biosynthesis	0.084307021	0.101113491	0.093929435	0.103683212	0.10313565	0.105801411	0.106352691	0.112000124	0.110172748	0.113591549	0.1013652	0.103393722	0.105579575	0.108848035	0.103391097	0.109805951	0.109685024	0.107214294	0.116137518	0.108784254	0.109487239
Biosynthesis of ansamycins	0.122791337	0.124907859	0.114188663	0.1153031	0.116852322	0.133333146	0.108276061	0.131573573	0.124297842	0.11480965	0.134085526	0.12568793	0.137839071	0.148461027	0.1140889	0.115638936	0.095139487	0.117084407	0.09097543	0.109352809	0.133645315
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	0.00024606	0.000447776	0.000472023	0.000958678	0.000640996	0.001103644	0.000607975	0.000215492	0.001300358	0.001347817	0.000582783	0.000733384	0.001786474	0.001471781	0.000964692	0.002621867	0.000916116	0.001964235	0.00071696	0.004096768	0.003701543
Pantothenate and CoA biosynthesis	0.511778932	0.531725217	0.529622418	0.526581184	0.565125608	0.550847874	0.576778468	0.607411272	0.567067917	0.586693406	0.573505878	0.563844648	0.567648204	0.566164809	0.566894037	0.562014099	0.602359227	0.546849178	0.598829107	0.606511885	0.544724796
Retinol metabolism	0.031951656	0.037299473	0.037513243	0.041668543	0.037054763	0.025205718	0.034439865	0.020302247	0.042155449	0.040037246	0.026539363	0.035683517	0.02902119	0.026187894	0.036157711	0.04359859	0.053667638	0.033630012	0.053856617	0.044719752	0.039886608
alpha-Linolenic acid metabolism	0.005789655	0.011141712	0.009147806	0.014365079	0.010735069	0.012234528	0.01196739	0.015638904	0.019699121	0.0231034	0.012361927	0.015047834	0.015784809	0.013861726	0.011122135	0.016826377	0.007963159	0.009979113	0.014115662	0.017534089	0.011550073
Glycerophospholipid metabolism	0.465114316	0.508031419	0.502959411	0.504805847	0.550797076	0.545645366	0.558566338	0.572840552	0.562425377	0.561141642	0.537973463	0.545994479	0.556888175	0.558538529	0.541208702	0.547946486	0.614687148	0.546333094	0.633237165	0.56958352	0.537488752
Oxidative phosphorylation	0.88754199	1.033078314	0.989209208	1.042335089	1.125181518	1.120001667	1.153437149	1.120730042	1.266912084	1.260301727	1.093701217	1.135359553	1.171381121	1.139286237	1.070081945	1.139336809	1.21041775	1.131443697	1.219932321	1.159597394	1.085275976
Ubiquinone and other terpenoid-quinone biosynthesis	0.125647567	0.170671968	0.171130373	0.180100704	0.20972232	0.148827336	0.201827374	0.106007511	0.186778372	0.189466528	0.137616886	0.172012247	0.159214977	0.13895332	0.167962464	0.200187465	0.327953973	0.194112216	0.362743708	0.212691214	0.188045168
Terpenoid backbone biosynthesis	0.417583664	0.521548497	0.48346486	0.488966265	0.523761925	0.557043391	0.515013627	0.551853089	0.549516808	0.550211153	0.529981323	0.55043179	0.569408937	0.581662665	0.541517005	0.526792985	0.515517633	0.527825242	0.49183082	0.548982798	0.586049414
Tyrosine metabolism	0.281780078	0.346307781	0.321655368	0.354824254	0.342865012	0.347774681	0.344296947	0.3245793	0.356899865	0.368438327	0.318361861	0.354402891	0.337911271	0.319430495	0.346622732	0.373034299	0.38094994	0.374510382	0.39424566	0.357058713	0.346603878
Sulfur metabolism	0.212188429	0.239648576	0.244835195	0.246131254	0.292417312	0.243136279	0.281521828	0.22001728	0.262646257	0.2759092	0.234430315	0.248492786	0.255653675	0.240910966	0.251797833	0.269219062	0.400716896	0.271017679	0.403664828	0.312188403	0.265622636
Purine metabolism	1.957161381	2.087956358	2.059760569	2.006199454	2.057416689	2.100976571	2.079643059	2.141883434	2.093371637	2.078434493	2.101066096	2.134424017	2.129659595	2.157064668	2.135622214	2.039292061	2.00675785	2.021275398	2.009154698	2.052326389	2.133185491
Lipoic acid metabolism	0.032670538	0.037811901	0.040420905	0.038377332	0.042046764	0.029712039	0.045435399	0.03364822	0.032738099	0.039139377	0.031322947	0.035340374	0.027942613	0.024144571	0.041146925	0.038006662	0.059100468	0.0388131	0.06410754	0.038354705	0.035361962
Glycosaminoglycan degradation	0.061107392	0.043458184	0.068147537	0.047186606	0.090995569	0.050057945	0.095949311	0.026481297	0.029338166	0.038995475	0.036665484	0.033083031	0.030856574	0.025638429	0.047922974	0.047065645	0.172011717	0.088132521	0.181864261	0.06088495	0.043793927
Protein kinases	0.438035618	0.36034447	0.396974509	0.39129681	0.352000828	0.317800898	0.353335208	0.316853066	0.339121473	0.355456726	0.338869748	0.329222244	0.331411492	0.3104281	0.339830107	0.352264704	0.342966377	0.311861749	0.367591246	0.341083694	0.299854042
Butirosin and neomycin biosynthesis	0.073733664	0.062482664	0.070954501	0.064553531	0.072494087	0.06350945	0.072109457	0.058223988	0.054633671	0.058442543	0.060082951	0.05468086	0.057465767	0.058682371	0.061189973	0.058261406	0.08388624	0.065689526	0.080251233	0.058343289	0.055382735
Starch and sucrose metabolism	0.97378372	0.831414044	0.895364737	0.856839617	0.865937381	0.892340689	0.89775765	0.8643261	0.806918784	0.816178939	0.872267607	0.79873282	0.8473472	0.824209761	0.852691455	0.808246437	0.79440877	0.923717532	0.800055327	0.807473425	0.73015056
Galactose metabolism	0.826806101	0.710069234	0.751857151	0.693944801	0.713661922	0.768675896	0.713984197	0.642047365	0.660363954	0.615664369	0.699124805	0.657896131	0.703059833	0.706626705	0.690215469	0.636920346	0.643091136	0.807098046	0.639764325	0.603033197	0.659971336
Glycosyltransferases	0.256433452	0.28416035	0.304668833	0.289616506	0.329517398	0.267119623	0.329716846	0.260372384	0.29829619	0.311688156	0.272228866	0.288408401	0.283786777	0.268788956	0.304269113	0.308651234	0.431651213	0.287180906	0.457602002	0.330279161	0.317887263
Sphingolipid metabolism	0.324929891	0.201908511	0.256157454	0.215591936	0.242192989	0.196551169	0.254522312	0.159461621	0.176803992	0.164415381	0.203846136	0.166347022	0.176456766	0.169642412	0.17875309	0.172769457	0.278805251	0.214639915	0.284695719	0.163949972	0.13406655
Glycerolipid metabolism	0.517619246	0.447746927	0.46965976	0.451341282	0.439911198	0.457286387	0.431680364	0.404672088	0.435979523	0.40442807	0.452791858	0.437803482	0.444366064	0.452160634	0.437399903	0.428441708	0.413342114	0.468824792	0.399248271	0.399173412	0.400146735
Synthesis and degradation of ketone bodies	0.054842503	0.080235652	0.065450712	0.082199757	0.066045276	0.074065575	0.061134264	0.06814146	0.091218818	0.098277109	0.066781702	0.080645354	0.076558384	0.062474661	0.063517168	0.078150101	0.049549522	0.060059313	0.045879425	0.065766206	0.05672633
Linoleic acid metabolism	0.065430334	0.071814117	0.064613658	0.07016721	0.073442632	0.077697616	0.071361354	0.071243091	0.073408755	0.074612288	0.073762096	0.075282902	0.073675314	0.077496641	0.064322735	0.070189266	0.072723283	0.075268229	0.063271757	0.058680064	0.067659076
Vitamin B6 metabolism	0.161787073	0.165265137	0.163836044	0.166213706	0.165373797	0.163630737	0.173559925	0.172902023	0.173206583	0.172883317	0.173606428	0.1700274	0.168412486	0.165862387	0.171406845	0.167888796	0.162011522	0.161565536	0.171804661	0.161939228	0.154891059
D-Glutamine and D-glutamate metabolism	0.114167164	0.134555389	0.128405996	0.128339617	0.133650957	0.145233073	0.13723059	0.155004085	0.137970232	0.14135657	0.137751208	0.141001532	0.142107044	0.14301053	0.140622899	0.13490862	0.124503635	0.137291777	0.123506502	0.133737297	0.139959
